title,state,created_at,user_name,html_url
Switch to position independent executable compilation,open,2020-10-02 16:42:24,Dmitry Sharonov,https://github.com/tarantool/tarantool/issues/5372
Peer address is not available in socket handler for unix sockets,open,2020-08-20 12:01:28,Dmitry Sharonov,https://github.com/tarantool/tarantool/issues/5252
Static build: Bundled curl in Tarantool http client does not accept a valid SSL certificate ,open,2020-12-10 11:46:16,Alexey Kuzin,https://github.com/tarantool/tarantool/issues/5615
feedback_daemon is spamming logs on startup,open,2020-06-15 13:13:04,Alexey Kuzin,https://github.com/tarantool/tarantool/issues/5079
Implement proxying box calls on the IPROTO level,open,2020-05-22 09:45:28,Alexey Kuzin,https://github.com/tarantool/tarantool/issues/5012
Possibility min tuple size more than max tuple size,open,2020-11-09 17:52:02,Michael Filonenko,https://github.com/tarantool/tarantool/issues/5509
High CPU usage when use remote `:call` in `netbox.on_connect` trigger,open,2020-09-28 09:14:21,Michael Filonenko,https://github.com/tarantool/tarantool/issues/5358
Some tuples missed when use sql `select` (seems degradation starts from 2.4),open,2020-09-17 17:15:39,Michael Filonenko,https://github.com/tarantool/tarantool/issues/5310
sql: Consider to use index from `like` expression instead of primary,open,2020-08-18 13:08:56,Michael Filonenko,https://github.com/tarantool/tarantool/issues/5249
Too long instance bootstrap on a big cluster,open,2020-12-21 11:17:32,Dmitry Sharonov,https://github.com/tarantool/cartridge/issues/1197
Extend server details,open,2020-12-18 17:28:38,Dmitry Sharonov,https://github.com/tarantool/cartridge/issues/1196
Group operations,open,2020-12-18 17:25:49,Dmitry Sharonov,https://github.com/tarantool/cartridge/issues/1195
Transient error during config update leaves cluster locked,open,2020-10-08 10:02:39,Dmitry Sharonov,https://github.com/tarantool/cartridge/issues/1087
[2pt] Add an alternative CLI example for setting up Cartridge topology,open,2020-08-13 09:41:21,Alexey Kuzin,https://github.com/tarantool/cartridge/issues/1008
Applier fiber — ER_READONLY: Can't modify data because this instance is in read-only mode.,open,2020-12-26 11:10:07,Michael Filonenko,https://github.com/tarantool/cartridge/issues/1204
